"Geslacht";"Leeftijd";"Nationaliteit";"Perioden";"Eerste asielverzoeken (personen) (aantal)";"Nareizigers (personen) (aantal)"
"Totaal mannen en vrouwen ";"Totaal";"Wit-Russisch ";"2022 november";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Wit-Russisch ";"2022 december";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Wit-Russisch ";"2023 januari*";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Wit-Russisch ";"2023 februari*";"       0";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Wit-Russisch ";"2023 maart*";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Wit-Russisch ";"2023 april*";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Onbekend";"2022 april";"      60";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Onbekend";"2022 mei";"      90";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Onbekend";"2022 juni";"      70";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Onbekend";"2022 juli";"      80";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Onbekend";"2022 augustus";"     110";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Onbekend";"2022 september";"     155";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Onbekend";"2022 oktober";"     125";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Onbekend";"2022 november";"     115";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Onbekend";"2022 december";"     100";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Onbekend";"2023 januari*";"     115";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Onbekend";"2023 februari*";"      80";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Onbekend";"2023 maart*";"      80";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Onbekend";"2023 april*";"      80";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Staatloos";"2022 april";"       0";"      45"
"Totaal mannen en vrouwen ";"Totaal";"Staatloos";"2022 mei";"       0";"      25"
"Totaal mannen en vrouwen ";"Totaal";"Staatloos";"2022 juni";"       0";"      25"
"Totaal mannen en vrouwen ";"Totaal";"Staatloos";"2022 juli";"       5";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Staatloos";"2022 augustus";"      15";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Staatloos";"2022 september";"       5";"      25"
"Totaal mannen en vrouwen ";"Totaal";"Staatloos";"2022 oktober";"       5";"      40"
"Totaal mannen en vrouwen ";"Totaal";"Staatloos";"2022 november";"       0";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Staatloos";"2022 december";"       5";"      25"
"Totaal mannen en vrouwen ";"Totaal";"Staatloos";"2023 januari*";"       5";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Staatloos";"2023 februari*";"       0";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Staatloos";"2023 maart*";"      10";"      30"
"Totaal mannen en vrouwen ";"Totaal";"Staatloos";"2023 april*";"       5";"      10"
